Category: Healthy
Networks analyzed: 605

Vertex	Absolute_Frequency	Relative_Frequency(%)
PWY-6386:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_II_(lysine-containing)	99	16.36
PWY-7229:_superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_I	98	16.20
PWY-7238:_sucrose_biosynthesis_II	98	16.20
PWY-7977:_L-methionine_biosynthesis_IV	96	15.87
PWY-7222:_guanosine_deoxyribonucleotides_de_novo_biosynthesis_II	95	15.70
PWY-7220:_adenosine_deoxyribonucleotides_de_novo_biosynthesis_II	95	15.70
PWY-7228:_superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_I	94	15.54
THRESYN-PWY:_superpathway_of_L-threonine_biosynthesis	94	15.54
GLCMANNANAUT-PWY:_superpathway_of_N-acetylglucosamine,_N-acetylmannosamine_and_N-acetylneuraminate_degradation	94	15.54
HSERMETANA-PWY:_L-methionine_biosynthesis_III	94	15.54
PWY-6385:_peptidoglycan_biosynthesis_III_(mycobacteria)	94	15.54
PWY-1269:_CMP-3-deoxy-D-manno-octulosonate_biosynthesis	94	15.54
PWY-6124:_inosine-5'-phosphate_biosynthesis_II	93	15.37
HISTSYN-PWY:_L-histidine_biosynthesis	92	15.21
PWY-6123:_inosine-5'-phosphate_biosynthesis_I	92	15.21
PWY-5103:_L-isoleucine_biosynthesis_III	92	15.21
RIBOSYN2-PWY:_flavin_biosynthesis_I_(bacteria_and_plants)	90	14.88
PEPTIDOGLYCANSYN-PWY:_peptidoglycan_biosynthesis_I_(meso-diaminopimelate_containing)	90	14.88
PWY-6387:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_I_(meso-diaminopimelate_containing)	90	14.88
COMPLETE-ARO-PWY:_superpathway_of_aromatic_amino_acid_biosynthesis	89	14.71
PWY-5686:_UMP_biosynthesis_I	89	14.71
PWY-7790:_UMP_biosynthesis_II	89	14.71
ILEUSYN-PWY:_L-isoleucine_biosynthesis_I_(from_threonine)	89	14.71
PWY-5097:_L-lysine_biosynthesis_VI	89	14.71
ARO-PWY:_chorismate_biosynthesis_I	88	14.55
PWY-621:_sucrose_degradation_III_(sucrose_invertase)	88	14.55
PWY66-429:_fatty_acid_biosynthesis_initiation_(mitochondria)	88	14.55
GLUCUROCAT-PWY:_superpathway_of_&beta;-D-glucuronosides_degradation	87	14.38
PWY-7791:_UMP_biosynthesis_III	87	14.38
PWY0-1586:_peptidoglycan_maturation_(meso-diaminopimelate_containing)	86	14.21
PWY-5695:_inosine_5'-phosphate_degradation	85	14.05
PWY-6121:_5-aminoimidazole_ribonucleotide_biosynthesis_I	85	14.05
PWY-6519:_8-amino-7-oxononanoate_biosynthesis_I	84	13.88
PWY-6122:_5-aminoimidazole_ribonucleotide_biosynthesis_II	84	13.88
PWY-6277:_superpathway_of_5-aminoimidazole_ribonucleotide_biosynthesis	84	13.88
PANTOSYN-PWY:_superpathway_of_coenzyme_A_biosynthesis_I_(bacteria)	84	13.88
PWY-6151:_S-adenosyl-L-methionine_salvage_I	82	13.55
PWY-5659:_GDP-mannose_biosynthesis	81	13.39
GALACTUROCAT-PWY:_D-galacturonate_degradation_I	81	13.39
PWY-7953:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_III_(meso-diaminopimelate_containing)	81	13.39
SALVADEHYPOX-PWY:_adenosine_nucleotides_degradation_II	80	13.22
PWY-6609:_adenine_and_adenosine_salvage_III	78	12.89
PANTO-PWY:_phosphopantothenate_biosynthesis_I	78	12.89
PWY-6700:_queuosine_biosynthesis_I_(de_novo)	78	12.89
VALSYN-PWY:_L-valine_biosynthesis	78	12.89
PWY-6902:_chitin_degradation_II_(Vibrio)	76	12.56
SER-GLYSYN-PWY:_superpathway_of_L-serine_and_glycine_biosynthesis_I	76	12.56
PWY-7560:_methylerythritol_phosphate_pathway_II	76	12.56
1CMET2-PWY:_folate_transformations_III_(E._coli)	75	12.40
PWY-6270:_isoprene_biosynthesis_I	73	12.07
COA-PWY:_coenzyme_A_biosynthesis_I_(prokaryotic)	73	12.07
PWY-6608:_guanosine_nucleotides_degradation_III	70	11.57
COA-PWY-1:_superpathway_of_coenzyme_A_biosynthesis_III_(mammals)	70	11.57
PWY-7221:_guanosine_ribonucleotides_de_novo_biosynthesis	70	11.57
PWY-3841:_folate_transformations_II_(plants)	68	11.24
PWY-7208:_superpathway_of_pyrimidine_nucleobases_salvage	67	11.07
PWY-1042:_glycolysis_IV	66	10.91
PWY-7851:_coenzyme_A_biosynthesis_II_(eukaryotic)	66	10.91
PWY-5188:_tetrapyrrole_biosynthesis_I_(from_glutamate)	60	9.92
PWY-6936:_seleno-amino_acid_biosynthesis_(plants)	55	9.09
PENTOSE-P-PWY:_pentose_phosphate_pathway	55	9.09
BIOTIN-BIOSYNTHESIS-PWY:_biotin_biosynthesis_I	52	8.60
PWY0-1061:_superpathway_of_L-alanine_biosynthesis	51	8.43
PWY-5989:_stearate_biosynthesis_II_(bacteria_and_plants)	50	8.26
FASYN-ELONG-PWY:_fatty_acid_elongation_--_saturated	49	8.10
PWY-7197:_pyrimidine_deoxyribonucleotide_phosphorylation	49	8.10
PWY-7664:_oleate_biosynthesis_IV_(anaerobic)	48	7.93
PWY0-862:_(5Z)-dodecenoate_biosynthesis_I	48	7.93
PWY0-162:_superpathway_of_pyrimidine_ribonucleotides_de_novo_biosynthesis	48	7.93
PWY-6282:_palmitoleate_biosynthesis_I_(from_(5Z)-dodec-5-enoate)	47	7.77
PWY-6143:_CMP-pseudaminate_biosynthesis	44	7.27
UDPNAGSYN-PWY:_UDP-N-acetyl-D-glucosamine_biosynthesis_I	40	6.61
PWY-8004:_Entner-Doudoroff_pathway_I	39	6.45
PWY-2941:_L-lysine_biosynthesis_II	39	6.45
PWY-5484:_glycolysis_II_(from_fructose_6-phosphate)	38	6.28
PWY-7237:_myo-,_chiro-_and_scyllo-inositol_degradation	36	5.95
GLYCOLYSIS:_glycolysis_I_(from_glucose_6-phosphate)	36	5.95
HEMESYN2-PWY:_heme_b_biosynthesis_II_(oxygen-independent)	35	5.79
DTDPRHAMSYN-PWY:_dTDP-&beta;-L-rhamnose_biosynthesis	35	5.79
PWY-6630:_superpathway_of_L-tyrosine_biosynthesis	32	5.29
PWY-7315:_dTDP-N-acetylthomosamine_biosynthesis	31	5.12
PWY0-1241:_ADP-L-glycero-&beta;-D-manno-heptose_biosynthesis	30	4.96
GLUCONEO-PWY:_gluconeogenesis_I	30	4.96
FUCCAT-PWY:_fucose_degradation	30	4.96
PWY-5154:_L-arginine_biosynthesis_III_(via_N-acetyl-L-citrulline)	30	4.96
PWY-7456:_&beta;-(1,4)-mannan_degradation	29	4.79
PWY-841:_superpathway_of_purine_nucleotides_de_novo_biosynthesis_I	28	4.63
PWY-6731:_starch_degradation_III	28	4.63
PWY-6353:_purine_nucleotides_degradation_II_(aerobic)	27	4.46
PWY-5676:_acetyl-CoA_fermentation_to_butanoate_II	26	4.30
PWY-6572:_chondroitin_sulfate_degradation_I_(bacterial)	25	4.13
PWY-6606:_guanosine_nucleotides_degradation_II	24	3.97
PWY0-1297:_superpathway_of_purine_deoxyribonucleosides_degradation	23	3.80
CITRULBIO-PWY:_L-citrulline_biosynthesis	23	3.80
PWY-I9:_L-cysteine_biosynthesis_VI_(from_L-methionine)	22	3.64
PWY-7316:_dTDP-N-acetylviosamine_biosynthesis	22	3.64
PWY-4041:_&gamma;-glutamyl_cycle	21	3.47
PWY-4984:_urea_cycle	21	3.47
FERMENTATION-PWY:_mixed_acid_fermentation	20	3.31
PWY0-1477:_ethanolamine_utilization	20	3.31
GOLPDLCAT-PWY:_superpathway_of_glycerol_degradation_to_1,3-propanediol	19	3.14
PWY4FS-7:_phosphatidylglycerol_biosynthesis_I_(plastidic)	17	2.81
PWY4FS-8:_phosphatidylglycerol_biosynthesis_II_(non-plastidic)	17	2.81
PWY0-1479:_tRNA_processing	17	2.81
PWY-702:_L-methionine_biosynthesis_II	17	2.81
PWY-5367:_petroselinate_biosynthesis	17	2.81
PWY-6588:_pyruvate_fermentation_to_acetone	17	2.81
PWY-7234:_inosine-5'-phosphate_biosynthesis_III	16	2.64
PWY-5005:_biotin_biosynthesis_II	16	2.64
PWY-7688:_dTDP-&alpha;-D-ravidosamine_and_dTDP-4-acetyl-&alpha;-D-ravidosamine_biosynthesis	15	2.48
GLUCARGALACTSUPER-PWY:_superpathway_of_D-glucarate_and_D-galactarate_degradation	15	2.48
P461-PWY:_hexitol_fermentation_to_lactate,_formate,_ethanol_and_acetate	14	2.31
PWY-1861:_formaldehyde_assimilation_II_(assimilatory_RuMP_Cycle)	14	2.31
PWY0-1261:_anhydromuropeptides_recycling_I	14	2.31
PWY-3001:_superpathway_of_L-isoleucine_biosynthesis_I	14	2.31
PWY-6478:_GDP-D-glycero-&alpha;-D-manno-heptose_biosynthesis	14	2.31
PWY-7312:_dTDP-&beta;-D-fucofuranose_biosynthesis	13	2.15
PHOSLIPSYN-PWY:_superpathway_of_phospholipid_biosynthesis_I_(bacteria)	12	1.98
SULFATE-CYS-PWY:_superpathway_of_sulfate_assimilation_and_cysteine_biosynthesis	12	1.98
SO4ASSIM-PWY:_assimilatory_sulfate_reduction_I	12	1.98
GALACTARDEG-PWY:_D-galactarate_degradation_I	12	1.98
PWY-7013:_(S)-propane-1,2-diol_degradation	11	1.82
PWY-7434:_terminal_O-glycans_residues_modification_(via_type_2_precursor_disaccharide)	11	1.82
PWY-6901:_superpathway_of_glucose_and_xylose_degradation	11	1.82
P161-PWY:_acetylene_degradation_(anaerobic)	11	1.82
OANTIGEN-PWY:_O-antigen_building_blocks_biosynthesis_(E._coli)	11	1.82
PWY-5136:_fatty_acid_&beta;-oxidation_II_(plant_peroxisome)	10	1.65
PWY-7400:_L-arginine_biosynthesis_IV_(archaebacteria)	10	1.65
DAPLYSINESYN-PWY:_L-lysine_biosynthesis_I	10	1.65
HEME-BIOSYNTHESIS-II-1:_heme_b_biosynthesis_V_(aerobic)	9	1.49
PWY-5675:_nitrate_reduction_V_(assimilatory)	9	1.49
HEME-BIOSYNTHESIS-II:_heme_b_biosynthesis_I_(aerobic)	9	1.49
PWY1ZNC-1:_assimilatory_sulfate_reduction_IV	8	1.32
PWY-7858:_(5Z)-dodecenoate_biosynthesis_II	8	1.32
PWY0-1415:_superpathway_of_heme_b_biosynthesis_from_uroporphyrinogen-III	8	1.32
PWY-7328:_superpathway_of_UDP-glucose-derived_O-antigen_building_blocks_biosynthesis	8	1.32
COLANSYN-PWY:_colanic_acid_building_blocks_biosynthesis	8	1.32
PWY-7883:_anhydromuropeptides_recycling_II	8	1.32
PWY-7118:_chitin_deacetylation	8	1.32
PWY66-409:_superpathway_of_purine_nucleotide_salvage	7	1.16
PWY-7117:_C4_photosynthetic_carbon_assimilation_cycle,_PEPCK_type	7	1.16
PWY-7184:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_I	7	1.16
PWY-6628:_superpathway_of_L-phenylalanine_biosynthesis	7	1.16
PWY-6284:_superpathway_of_unsaturated_fatty_acids_biosynthesis_(E._coli)	6	0.99
LACTOSECAT-PWY:_lactose_and_galactose_degradation_I	6	0.99
PWY-7115:_C4_photosynthetic_carbon_assimilation_cycle,_NAD-ME_type	6	0.99
PWY-7204:_pyridoxal_5'-phosphate_salvage_II_(plants)	6	0.99
FAO-PWY:_fatty_acid_&beta;-oxidation_I_(generic)	6	0.99
PWY-5189:_tetrapyrrole_biosynthesis_II_(from_glycine)	6	0.99
PWY-5138:_fatty_acid_&beta;-oxidation_IV_(unsaturated,_even_number)	6	0.99
TCA-GLYOX-BYPASS:_superpathway_of_glyoxylate_bypass_and_TCA	6	0.99
METSYN-PWY:_superpathway_of_L-homoserine_and_L-methionine_biosynthesis	5	0.83
GLUCOSE1PMETAB-PWY:_glucose_and_glucose-1-phosphate_degradation	5	0.83
PWY0-301:_L-ascorbate_degradation_I_(bacterial,_anaerobic)	5	0.83
GLYCOCAT-PWY:_glycogen_degradation_I	5	0.83
PWY-6953:_dTDP-3-acetamido-&alpha;-D-fucose_biosynthesis	5	0.83
PPGPPMET-PWY:_ppGpp_metabolism	5	0.83
DENOVOPURINE2-PWY:_superpathway_of_purine_nucleotides_de_novo_biosynthesis_II	5	0.83
PWY-7187:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_II	5	0.83
PWY-5837:_2-carboxy-1,4-naphthoquinol_biosynthesis	5	0.83
FUC-RHAMCAT-PWY:_superpathway_of_fucose_and_rhamnose_degradation	5	0.83
PWY-6876:_isopropanol_biosynthesis_(engineered)	5	0.83
METH-ACETATE-PWY:_methanogenesis_from_acetate	5	0.83
PWY-6803:_phosphatidylcholine_acyl_editing	5	0.83
PWY-5918:_superpathway_of_heme_b_biosynthesis_from_glutamate	5	0.83
P441-PWY:_superpathway_of_N-acetylneuraminate_degradation	5	0.83
PWY-5898:_superpathway_of_menaquinol-12_biosynthesis	5	0.83
PWY-5897:_superpathway_of_menaquinol-11_biosynthesis	5	0.83
PWY-5899:_superpathway_of_menaquinol-13_biosynthesis	5	0.83
PWY-5838:_superpathway_of_menaquinol-8_biosynthesis_I	5	0.83
PWY0-1298:_superpathway_of_pyrimidine_deoxyribonucleosides_degradation	4	0.66
MET-SAM-PWY:_superpathway_of_S-adenosyl-L-methionine_biosynthesis	4	0.66
HOMOSER-METSYN-PWY:_L-methionine_biosynthesis_I	4	0.66
POLYAMSYN-PWY:_superpathway_of_polyamine_biosynthesis_I	4	0.66
PWY-5981:_CDP-diacylglycerol_biosynthesis_III	4	0.66
PWY-7323:_superpathway_of_GDP-mannose-derived_O-antigen_building_blocks_biosynthesis	4	0.66
PWY-6749:_CMP-legionaminate_biosynthesis_I	4	0.66
PWY0-166:_superpathway_of_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_(E._coli)	4	0.66
PWY-7094:_fatty_acid_salvage	4	0.66
ORNDEG-PWY:_superpathway_of_ornithine_degradation	4	0.66
PWY-6285:_superpathway_of_fatty_acids_biosynthesis_(E._coli)	4	0.66
KETOGLUCONMET-PWY:_ketogluconate_metabolism	4	0.66
HEXITOLDEGSUPER-PWY:_superpathway_of_hexitol_degradation_(bacteria)	4	0.66
P4-PWY:_superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_I	4	0.66
ANAEROFRUCAT-PWY:_homolactic_fermentation	4	0.66
TCA:_TCA_cycle_I_(prokaryotic)	4	0.66
GALACTITOLCAT-PWY:_galactitol_degradation	4	0.66
PWY-6305:_superpathway_of_putrescine_biosynthesis	3	0.50
PWY-6961:_L-ascorbate_degradation_II_(bacterial,_aerobic)	3	0.50
NAD-BIOSYNTHESIS-II:_NAD_salvage_pathway_III_(to_nicotinamide_riboside)	3	0.50
PWY-5913:_partial_TCA_cycle_(obligate_autotrophs)	3	0.50
PWY-6906:_chitin_derivatives_degradation	3	0.50
PWY-822:_fructan_biosynthesis	3	0.50
GALACT-GLUCUROCAT-PWY:_superpathway_of_hexuronide_and_hexuronate_degradation	3	0.50
PWY-6859:_all-trans-farnesol_biosynthesis	3	0.50
PWY-7356:_thiamine_diphosphate_salvage_IV_(yeast)	3	0.50
PWY-5677:_succinate_fermentation_to_butanoate	3	0.50
P164-PWY:_purine_nucleobases_degradation_I_(anaerobic)	3	0.50
GLUCARDEG-PWY:_D-glucarate_degradation_I	3	0.50
FOLSYN-PWY:_superpathway_of_tetrahydrofolate_biosynthesis_and_salvage	3	0.50
PWY0-1338:_polymyxin_resistance	3	0.50
PWY-6969:_TCA_cycle_V_(2-oxoglutarate_synthase)	3	0.50
PWY0-1337:_oleate_&beta;-oxidation	3	0.50
PWY-561:_superpathway_of_glyoxylate_cycle_and_fatty_acid_degradation	3	0.50
PWY0-781:_aspartate_superpathway	3	0.50
P105-PWY:_TCA_cycle_IV_(2-oxoglutarate_decarboxylase)	3	0.50
PWY-5723:_Rubisco_shunt	3	0.50
PWY-6531:_mannitol_cycle	3	0.50
GLYCOLYSIS-E-D:_superpathway_of_glycolysis_and_the_Entner-Doudoroff_pathway	3	0.50
PWY-5347:_superpathway_of_L-methionine_biosynthesis_(transsulfuration)	3	0.50
PWY-5850:_superpathway_of_menaquinol-6_biosynthesis	3	0.50
PWY-5896:_superpathway_of_menaquinol-10_biosynthesis	3	0.50
PWY-5845:_superpathway_of_menaquinol-9_biosynthesis	3	0.50
PWY-5861:_superpathway_of_demethylmenaquinol-8_biosynthesis_I	3	0.50
PWY-5840:_superpathway_of_menaquinol-7_biosynthesis	3	0.50
PWY-7198:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_IV	2	0.33
P125-PWY:_superpathway_of_(R,R)-butanediol_biosynthesis	2	0.33
PWY-8131:_5'-deoxyadenosine_degradation_II	2	0.33
PWY-5855:_ubiquinol-7_biosynthesis_(early_decarboxylation)	2	0.33
GLYOXYLATE-BYPASS:_glyoxylate_cycle	2	0.33
AEROBACTINSYN-PWY:_aerobactin_biosynthesis	2	0.33
CARNMET-PWY:_L-carnitine_degradation_I	2	0.33
PWY-6168:_flavin_biosynthesis_III_(fungi)	2	0.33
PWY-5920:_superpathway_of_heme_b_biosynthesis_from_glycine	2	0.33
POLYISOPRENSYN-PWY:_polyisoprenoid_biosynthesis_(E._coli)	2	0.33
PWY-5860:_superpathway_of_demethylmenaquinol-6_biosynthesis_I	2	0.33
PWY-5862:_superpathway_of_demethylmenaquinol-9_biosynthesis	2	0.33
PWY-8187:_L-arginine_degradation_XIII_(reductive_Stickland_reaction)	2	0.33
LIPASYN-PWY:_phospholipases	2	0.33
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY:_4-hydroxyphenylacetate_degradation	2	0.33
PWY-7446:_sulfoquinovose_degradation_I	1	0.17
PWY-5656:_mannosylglycerate_biosynthesis_I	1	0.17
AST-PWY:_L-arginine_degradation_II_(AST_pathway)	1	0.17
PWY-6612:_superpathway_of_tetrahydrofolate_biosynthesis	1	0.17
PWY4LZ-257:_superpathway_of_fermentation_(Chlamydomonas_reinhardtii)	1	0.17
PWY-7345:_superpathway_of_anaerobic_sucrose_degradation	1	0.17
PWY-7371:_1,4-dihydroxy-6-naphthoate_biosynthesis_II	1	0.17
PWY-7388:_octanoyl-[acyl-carrier_protein]_biosynthesis_(mitochondria,_yeast)	1	0.17
PWY-622:_starch_biosynthesis	1	0.17
PWY-6895:_superpathway_of_thiamine_diphosphate_biosynthesis_II	1	0.17
PWY-5345:_superpathway_of_L-methionine_biosynthesis_(by_sulfhydrylation)	1	0.17
PWY66-389:_phytol_degradation	1	0.17
PWY-7385:_1,3-propanediol_biosynthesis_(engineered)	1	0.17
ARG+POLYAMINE-SYN:_superpathway_of_arginine_and_polyamine_biosynthesis	1	0.17
PRPP-PWY:_superpathway_of_histidine,_purine,_and_pyrimidine_biosynthesis	1	0.17
PWY-7409:_phospholipid_remodeling_(phosphatidylethanolamine,_yeast)	1	0.17
PWY-7805:_(aminomethyl)phosphonate_degradation	1	0.17
P221-PWY:_octane_oxidation	1	0.17
PWY-7807:_glyphosate_degradation_III	1	0.17
PWY-5705:_allantoin_degradation_to_glyoxylate_III	1	0.17
ALLANTOINDEG-PWY:_superpathway_of_allantoin_degradation_in_yeast	1	0.17
ECASYN-PWY:_enterobacterial_common_antigen_biosynthesis	1	0.17
PWY-5971:_palmitate_biosynthesis_(type_II_fatty_acid_synthase)	1	0.17
PWY-7039:_phosphatidate_metabolism,_as_a_signaling_molecule	1	0.17
