Category: Obese
Networks analyzed: 58

Vertex	Absolute_Frequency	Relative_Frequency(%)
PWY-5941:_glycogen_degradation_II	10	17.24
ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	10	17.24
PWY-7111:_pyruvate_fermentation_to_isobutanol_(engineered)	10	17.24
PWY-5973:_cis-vaccenate_biosynthesis	10	17.24
PWY-2942:_L-lysine_biosynthesis_III	10	17.24
THISYNARA-PWY:_superpathway_of_thiamine_diphosphate_biosynthesis_III_(eukaryotes)	10	17.24
PWY-6609:_adenine_and_adenosine_salvage_III	10	17.24
PWY-6823:_molybdopterin_biosynthesis	10	17.24
VALSYN-PWY:_L-valine_biosynthesis	10	17.24
ILEUSYN-PWY:_L-isoleucine_biosynthesis_I_(from_threonine)	9	15.52
PWY-5103:_L-isoleucine_biosynthesis_III	9	15.52
PWY-5188:_tetrapyrrole_biosynthesis_I_(from_glutamate)	9	15.52
RIBOSYN2-PWY:_flavin_biosynthesis_I_(bacteria_and_plants)	9	15.52
PWY66-429:_fatty_acid_biosynthesis_initiation_(mitochondria)	9	15.52
PWY-5695:_inosine_5'-phosphate_degradation	9	15.52
BRANCHED-CHAIN-AA-SYN-PWY:_superpathway_of_branched_chain_amino_acid_biosynthesis	9	15.52
PWY-5667:_CDP-diacylglycerol_biosynthesis_I	9	15.52
PWY0-1319:_CDP-diacylglycerol_biosynthesis_II	9	15.52
ARGSYN-PWY:_L-arginine_biosynthesis_I_(via_L-ornithine)	9	15.52
PWY-7953:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_III_(meso-diaminopimelate_containing)	8	13.79
PWY-1042:_glycolysis_IV	8	13.79
COA-PWY:_coenzyme_A_biosynthesis_I_(prokaryotic)	8	13.79
PWY-6386:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_II_(lysine-containing)	8	13.79
PWY-7197:_pyrimidine_deoxyribonucleotide_phosphorylation	8	13.79
PYRIDOXSYN-PWY:_pyridoxal_5'-phosphate_biosynthesis_I	8	13.79
COBALSYN-PWY:_superpathway_of_adenosylcobalamin_salvage_from_cobinamide_I	8	13.79
GLUTORN-PWY:_L-ornithine_biosynthesis_I	8	13.79
PWY-621:_sucrose_degradation_III_(sucrose_invertase)	8	13.79
PWY-6151:_S-adenosyl-L-methionine_salvage_I	8	13.79
COA-PWY-1:_superpathway_of_coenzyme_A_biosynthesis_III_(mammals)	7	12.07
PWY0-1296:_purine_ribonucleosides_degradation	7	12.07
PWY-6700:_queuosine_biosynthesis_I_(de_novo)	7	12.07
PWY-6385:_peptidoglycan_biosynthesis_III_(mycobacteria)	7	12.07
PWY-5384:_sucrose_degradation_IV_(sucrose_phosphorylase)	7	12.07
PWY-724:_superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_II	7	12.07
PWY-6897:_thiamine_diphosphate_salvage_II	7	12.07
PWY0-1586:_peptidoglycan_maturation_(meso-diaminopimelate_containing)	7	12.07
HSERMETANA-PWY:_L-methionine_biosynthesis_III	7	12.07
PWY-5097:_L-lysine_biosynthesis_VI	7	12.07
PWY-6519:_8-amino-7-oxononanoate_biosynthesis_I	6	10.34
PWY0-845:_superpathway_of_pyridoxal_5'-phosphate_biosynthesis_and_salvage	6	10.34
PWY-7560:_methylerythritol_phosphate_pathway_II	6	10.34
PWY-8004:_Entner-Doudoroff_pathway_I	6	10.34
PWY-7238:_sucrose_biosynthesis_II	6	10.34
OANTIGEN-PWY:_O-antigen_building_blocks_biosynthesis_(E._coli)	6	10.34
PWY0-1061:_superpathway_of_L-alanine_biosynthesis	6	10.34
THRESYN-PWY:_superpathway_of_L-threonine_biosynthesis	6	10.34
NAGLIPASYN-PWY:_lipid_IVA_biosynthesis_(E._coli)	5	8.62
PWY-6902:_chitin_degradation_II_(Vibrio)	5	8.62
PWY-8073:_lipid_IVA_biosynthesis_(P._putida)	5	8.62
PWY-6270:_isoprene_biosynthesis_I	5	8.62
PWY-7282:_4-amino-2-methyl-5-diphosphomethylpyrimidine_biosynthesis_II	5	8.62
PWY0-862:_(5Z)-dodecenoate_biosynthesis_I	4	6.90
DTDPRHAMSYN-PWY:_dTDP-&beta;-L-rhamnose_biosynthesis	4	6.90
PWY0-1261:_anhydromuropeptides_recycling_I	4	6.90
PWY-5659:_GDP-mannose_biosynthesis	4	6.90
GLCMANNANAUT-PWY:_superpathway_of_N-acetylglucosamine,_N-acetylmannosamine_and_N-acetylneuraminate_degradation	4	6.90
SALVADEHYPOX-PWY:_adenosine_nucleotides_degradation_II	4	6.90
PWY-7664:_oleate_biosynthesis_IV_(anaerobic)	3	5.17
PWY-5989:_stearate_biosynthesis_II_(bacteria_and_plants)	3	5.17
PWY-6282:_palmitoleate_biosynthesis_I_(from_(5Z)-dodec-5-enoate)	3	5.17
FASYN-ELONG-PWY:_fatty_acid_elongation_--_saturated	3	5.17
BIOTIN-BIOSYNTHESIS-PWY:_biotin_biosynthesis_I	3	5.17
DAPLYSINESYN-PWY:_L-lysine_biosynthesis_I	3	5.17
PWY-I9:_L-cysteine_biosynthesis_VI_(from_L-methionine)	3	5.17
PWY-6353:_purine_nucleotides_degradation_II_(aerobic)	3	5.17
PWY-7184:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_I	3	5.17
PWY-7118:_chitin_deacetylation	3	5.17
PWY1ZNC-1:_assimilatory_sulfate_reduction_IV	3	5.17
PWY0-781:_aspartate_superpathway	3	5.17
PWY-7208:_superpathway_of_pyrimidine_nucleobases_salvage	3	5.17
PWY-6284:_superpathway_of_unsaturated_fatty_acids_biosynthesis_(E._coli)	3	5.17
PWY-6630:_superpathway_of_L-tyrosine_biosynthesis	3	5.17
FUC-RHAMCAT-PWY:_superpathway_of_fucose_and_rhamnose_degradation	3	5.17
PWY-7204:_pyridoxal_5'-phosphate_salvage_II_(plants)	3	5.17
PWY0-1277:_3-phenylpropanoate_and_3-(3-hydroxyphenyl)propanoate_degradation	3	5.17
PENTOSE-P-PWY:_pentose_phosphate_pathway	3	5.17
PWY-6608:_guanosine_nucleotides_degradation_III	3	5.17
UDPNAGSYN-PWY:_UDP-N-acetyl-D-glucosamine_biosynthesis_I	3	5.17
PWY-5130:_2-oxobutanoate_degradation_I	2	3.45
PWY-7688:_dTDP-&alpha;-D-ravidosamine_and_dTDP-4-acetyl-&alpha;-D-ravidosamine_biosynthesis	2	3.45
PWY-7400:_L-arginine_biosynthesis_IV_(archaebacteria)	2	3.45
PWY-7210:_pyrimidine_deoxyribonucleotides_biosynthesis_from_CTP	2	3.45
PWY66-409:_superpathway_of_purine_nucleotide_salvage	2	3.45
PWY0-162:_superpathway_of_pyrimidine_ribonucleotides_de_novo_biosynthesis	2	3.45
PWY-841:_superpathway_of_purine_nucleotides_de_novo_biosynthesis_I	2	3.45
PWY0-166:_superpathway_of_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_(E._coli)	2	3.45
CITRULBIO-PWY:_L-citrulline_biosynthesis	2	3.45
PWY-6628:_superpathway_of_L-phenylalanine_biosynthesis	2	3.45
SULFATE-CYS-PWY:_superpathway_of_sulfate_assimilation_and_cysteine_biosynthesis	2	3.45
DENOVOPURINE2-PWY:_superpathway_of_purine_nucleotides_de_novo_biosynthesis_II	2	3.45
PWY-6305:_superpathway_of_putrescine_biosynthesis	2	3.45
HEME-BIOSYNTHESIS-II-1:_heme_b_biosynthesis_V_(aerobic)	2	3.45
PWY-5918:_superpathway_of_heme_b_biosynthesis_from_glutamate	2	3.45
PWY-5189:_tetrapyrrole_biosynthesis_II_(from_glycine)	2	3.45
PWY-702:_L-methionine_biosynthesis_II	2	3.45
PWY-5838:_superpathway_of_menaquinol-8_biosynthesis_I	2	3.45
PWY0-1298:_superpathway_of_pyrimidine_deoxyribonucleosides_degradation	2	3.45
P4-PWY:_superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_I	2	3.45
HEME-BIOSYNTHESIS-II:_heme_b_biosynthesis_I_(aerobic)	2	3.45
P105-PWY:_TCA_cycle_IV_(2-oxoglutarate_decarboxylase)	2	3.45
ARG+POLYAMINE-SYN:_superpathway_of_arginine_and_polyamine_biosynthesis	2	3.45
PWY0-1297:_superpathway_of_purine_deoxyribonucleosides_degradation	2	3.45
PWY-7858:_(5Z)-dodecenoate_biosynthesis_II	2	3.45
HOMOSER-METSYN-PWY:_L-methionine_biosynthesis_I	2	3.45
PWY-7115:_C4_photosynthetic_carbon_assimilation_cycle,_NAD-ME_type	2	3.45
PWY-7883:_anhydromuropeptides_recycling_II	2	3.45
GALACT-GLUCUROCAT-PWY:_superpathway_of_hexuronide_and_hexuronate_degradation	2	3.45
GLYCOCAT-PWY:_glycogen_degradation_I	2	3.45
PWY-5154:_L-arginine_biosynthesis_III_(via_N-acetyl-L-citrulline)	2	3.45
PWY-7315:_dTDP-N-acetylthomosamine_biosynthesis	2	3.45
PWY0-1241:_ADP-L-glycero-&beta;-D-manno-heptose_biosynthesis	2	3.45
PWY-4041:_&gamma;-glutamyl_cycle	2	3.45
PWY-7237:_myo-,_chiro-_and_scyllo-inositol_degradation	2	3.45
PWY-6606:_guanosine_nucleotides_degradation_II	2	3.45
PWY4FS-7:_phosphatidylglycerol_biosynthesis_I_(plastidic)	2	3.45
GLUCONEO-PWY:_gluconeogenesis_I	2	3.45
COLANSYN-PWY:_colanic_acid_building_blocks_biosynthesis	2	3.45
PWY-6690:_cinnamate_and_3-hydroxycinnamate_degradation_to_2-hydroxypentadienoate	2	3.45
PWY-7242:_D-fructuronate_degradation	2	3.45
PWY-6507:_4-deoxy-L-threo-hex-4-enopyranuronate_degradation	2	3.45
GALACTUROCAT-PWY:_D-galacturonate_degradation_I	2	3.45
GLUCUROCAT-PWY:_superpathway_of_&beta;-D-glucuronosides_degradation	2	3.45
HCAMHPDEG-PWY:_3-phenylpropanoate_and_3-(3-hydroxyphenyl)propanoate_degradation_to_2-hydroxypentadienoate	2	3.45
PWY4FS-8:_phosphatidylglycerol_biosynthesis_II_(non-plastidic)	2	3.45
PHOSLIPSYN-PWY:_superpathway_of_phospholipid_biosynthesis_I_(bacteria)	2	3.45
PWY-6731:_starch_degradation_III	2	3.45
PWY-7456:_&beta;-(1,4)-mannan_degradation	2	3.45
PWY-7312:_dTDP-&beta;-D-fucofuranose_biosynthesis	2	3.45
PWY-6160:_3-dehydroquinate_biosynthesis_II_(archaea)	1	1.72
PWY-6545:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_III	1	1.72
PWY-6749:_CMP-legionaminate_biosynthesis_I	1	1.72
FOLSYN-PWY:_superpathway_of_tetrahydrofolate_biosynthesis_and_salvage	1	1.72
PWY-7094:_fatty_acid_salvage	1	1.72
GLUCARDEG-PWY:_D-glucarate_degradation_I	1	1.72
PWY0-1338:_polymyxin_resistance	1	1.72
ORNDEG-PWY:_superpathway_of_ornithine_degradation	1	1.72
PWY0-1337:_oleate_&beta;-oxidation	1	1.72
MET-SAM-PWY:_superpathway_of_S-adenosyl-L-methionine_biosynthesis	1	1.72
PWY-8187:_L-arginine_degradation_XIII_(reductive_Stickland_reaction)	1	1.72
PWY-7409:_phospholipid_remodeling_(phosphatidylethanolamine,_yeast)	1	1.72
METSYN-PWY:_superpathway_of_L-homoserine_and_L-methionine_biosynthesis	1	1.72
PWY-5971:_palmitate_biosynthesis_(type_II_fatty_acid_synthase)	1	1.72
PWY-5920:_superpathway_of_heme_b_biosynthesis_from_glycine	1	1.72
PWY-5347:_superpathway_of_L-methionine_biosynthesis_(transsulfuration)	1	1.72
PWY-5138:_fatty_acid_&beta;-oxidation_IV_(unsaturated,_even_number)	1	1.72
PWY-3001:_superpathway_of_L-isoleucine_biosynthesis_I	1	1.72
SO4ASSIM-PWY:_assimilatory_sulfate_reduction_I	1	1.72
GLYCOLYSIS-TCA-GLYOX-BYPASS:_superpathway_of_glycolysis,_pyruvate_dehydrogenase,_TCA,_and_glyoxylate_bypass	1	1.72
PWY-7117:_C4_photosynthetic_carbon_assimilation_cycle,_PEPCK_type	1	1.72
PWY-6168:_flavin_biosynthesis_III_(fungi)	1	1.72
PRPP-PWY:_superpathway_of_histidine,_purine,_and_pyrimidine_biosynthesis	1	1.72
PWY-5675:_nitrate_reduction_V_(assimilatory)	1	1.72
GALACTITOLCAT-PWY:_galactitol_degradation	1	1.72
PWY-7234:_inosine-5'-phosphate_biosynthesis_III	1	1.72
PWY-5505:_L-glutamate_and_L-glutamine_biosynthesis	1	1.72
PWY-6143:_CMP-pseudaminate_biosynthesis	1	1.72
KETOGLUCONMET-PWY:_ketogluconate_metabolism	1	1.72
PWY-6803:_phosphatidylcholine_acyl_editing	1	1.72
GLUCOSE1PMETAB-PWY:_glucose_and_glucose-1-phosphate_degradation	1	1.72
HEMESYN2-PWY:_heme_b_biosynthesis_II_(oxygen-independent)	1	1.72
GLYOXYLATE-BYPASS:_glyoxylate_cycle	1	1.72
PWY-6895:_superpathway_of_thiamine_diphosphate_biosynthesis_II	1	1.72
PWY-5850:_superpathway_of_menaquinol-6_biosynthesis	1	1.72
GLYCOLYSIS-E-D:_superpathway_of_glycolysis_and_the_Entner-Doudoroff_pathway	1	1.72
PWY0-1415:_superpathway_of_heme_b_biosynthesis_from_uroporphyrinogen-III	1	1.72
PWY-1269:_CMP-3-deoxy-D-manno-octulosonate_biosynthesis	1	1.72
PWY-6969:_TCA_cycle_V_(2-oxoglutarate_synthase)	1	1.72
PWY-6285:_superpathway_of_fatty_acids_biosynthesis_(E._coli)	1	1.72
PWY-5896:_superpathway_of_menaquinol-10_biosynthesis	1	1.72
PWY-5898:_superpathway_of_menaquinol-12_biosynthesis	1	1.72
PWY-561:_superpathway_of_glyoxylate_cycle_and_fatty_acid_degradation	1	1.72
PWY0-301:_L-ascorbate_degradation_I_(bacterial,_anaerobic)	1	1.72
FAO-PWY:_fatty_acid_&beta;-oxidation_I_(generic)	1	1.72
PWY-5723:_Rubisco_shunt	1	1.72
PWY-5845:_superpathway_of_menaquinol-9_biosynthesis	1	1.72
P441-PWY:_superpathway_of_N-acetylneuraminate_degradation	1	1.72
PWY-7345:_superpathway_of_anaerobic_sucrose_degradation	1	1.72
PWY-6961:_L-ascorbate_degradation_II_(bacterial,_aerobic)	1	1.72
PWY0-1479:_tRNA_processing	1	1.72
PWY4LZ-257:_superpathway_of_fermentation_(Chlamydomonas_reinhardtii)	1	1.72
PWY0-42:_2-methylcitrate_cycle_I	1	1.72
PWY-5897:_superpathway_of_menaquinol-11_biosynthesis	1	1.72
PWY-6531:_mannitol_cycle	1	1.72
PWY-6901:_superpathway_of_glucose_and_xylose_degradation	1	1.72
PWY-5861:_superpathway_of_demethylmenaquinol-8_biosynthesis_I	1	1.72
P161-PWY:_acetylene_degradation_(anaerobic)	1	1.72
PWY-5840:_superpathway_of_menaquinol-7_biosynthesis	1	1.72
POLYISOPRENSYN-PWY:_polyisoprenoid_biosynthesis_(E._coli)	1	1.72
PWY-5899:_superpathway_of_menaquinol-13_biosynthesis	1	1.72
AST-PWY:_L-arginine_degradation_II_(AST_pathway)	1	1.72
ANAEROFRUCAT-PWY:_homolactic_fermentation	1	1.72
TCA:_TCA_cycle_I_(prokaryotic)	1	1.72
POLYAMSYN-PWY:_superpathway_of_polyamine_biosynthesis_I	1	1.72
TCA-GLYOX-BYPASS:_superpathway_of_glyoxylate_bypass_and_TCA	1	1.72
FUCCAT-PWY:_fucose_degradation	1	1.72
PWY-5837:_2-carboxy-1,4-naphthoquinol_biosynthesis	1	1.72
PWY-6859:_all-trans-farnesol_biosynthesis	1	1.72
PWY-7198:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_IV	1	1.72
PWY-7323:_superpathway_of_GDP-mannose-derived_O-antigen_building_blocks_biosynthesis	1	1.72
PWY-5484:_glycolysis_II_(from_fructose_6-phosphate)	1	1.72
PWY-6906:_chitin_derivatives_degradation	1	1.72
METH-ACETATE-PWY:_methanogenesis_from_acetate	1	1.72
PWY-7316:_dTDP-N-acetylviosamine_biosynthesis	1	1.72
PWY-2941:_L-lysine_biosynthesis_II	1	1.72
P461-PWY:_hexitol_fermentation_to_lactate,_formate,_ethanol_and_acetate	1	1.72
LACTOSECAT-PWY:_lactose_and_galactose_degradation_I	1	1.72
PWY-5676:_acetyl-CoA_fermentation_to_butanoate_II	1	1.72
PWY-1861:_formaldehyde_assimilation_II_(assimilatory_RuMP_Cycle)	1	1.72
GOLPDLCAT-PWY:_superpathway_of_glycerol_degradation_to_1,3-propanediol	1	1.72
