Category: CD
Networks analyzed: 368

Vertex	Absolute_Frequency	Relative_Frequency(%)
PWY-724:_superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_II	37	10.05
PWY-6122:_5-aminoimidazole_ribonucleotide_biosynthesis_II	36	9.78
PWY-5686:_UMP_biosynthesis_I	36	9.78
PWY-6277:_superpathway_of_5-aminoimidazole_ribonucleotide_biosynthesis	36	9.78
PWY-6125:_superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_II	36	9.78
COA-PWY:_coenzyme_A_biosynthesis_I_(prokaryotic)	36	9.78
PWY-7790:_UMP_biosynthesis_II	36	9.78
PWY-7851:_coenzyme_A_biosynthesis_II_(eukaryotic)	36	9.78
PWY-4041:_&gamma;-glutamyl_cycle	36	9.78
PENTOSE-P-PWY:_pentose_phosphate_pathway	36	9.78
THISYNARA-PWY:_superpathway_of_thiamine_diphosphate_biosynthesis_III_(eukaryotes)	35	9.51
COA-PWY-1:_superpathway_of_coenzyme_A_biosynthesis_III_(mammals)	35	9.51
OANTIGEN-PWY:_O-antigen_building_blocks_biosynthesis_(E._coli)	35	9.51
PWY-621:_sucrose_degradation_III_(sucrose_invertase)	34	9.24
PWY-5659:_GDP-mannose_biosynthesis	34	9.24
PWY-7791:_UMP_biosynthesis_III	34	9.24
VALSYN-PWY:_L-valine_biosynthesis	34	9.24
PWY-6731:_starch_degradation_III	34	9.24
COBALSYN-PWY:_superpathway_of_adenosylcobalamin_salvage_from_cobinamide_I	33	8.97
RIBOSYN2-PWY:_flavin_biosynthesis_I_(bacteria_and_plants)	33	8.97
PWY0-1261:_anhydromuropeptides_recycling_I	33	8.97
PWY-7883:_anhydromuropeptides_recycling_II	32	8.70
PWY-7228:_superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_I	32	8.70
PWY-1042:_glycolysis_IV	32	8.70
SO4ASSIM-PWY:_assimilatory_sulfate_reduction_I	32	8.70
GLCMANNANAUT-PWY:_superpathway_of_N-acetylglucosamine,_N-acetylmannosamine_and_N-acetylneuraminate_degradation	31	8.42
PWY-I9:_L-cysteine_biosynthesis_VI_(from_L-methionine)	31	8.42
PWY-6859:_all-trans-farnesol_biosynthesis	31	8.42
GLUCARGALACTSUPER-PWY:_superpathway_of_D-glucarate_and_D-galactarate_degradation	31	8.42
PWY-7242:_D-fructuronate_degradation	30	8.15
PWY-2941:_L-lysine_biosynthesis_II	30	8.15
PWY-7221:_guanosine_ribonucleotides_de_novo_biosynthesis	30	8.15
PWY-5188:_tetrapyrrole_biosynthesis_I_(from_glutamate)	30	8.15
PWY-6902:_chitin_degradation_II_(Vibrio)	30	8.15
PWY-7222:_guanosine_deoxyribonucleotides_de_novo_biosynthesis_II	30	8.15
PWY-7220:_adenosine_deoxyribonucleotides_de_novo_biosynthesis_II	30	8.15
GALACTUROCAT-PWY:_D-galacturonate_degradation_I	29	7.88
PWY-7208:_superpathway_of_pyrimidine_nucleobases_salvage	29	7.88
GALACT-GLUCUROCAT-PWY:_superpathway_of_hexuronide_and_hexuronate_degradation	28	7.61
SULFATE-CYS-PWY:_superpathway_of_sulfate_assimilation_and_cysteine_biosynthesis	28	7.61
PWY0-1297:_superpathway_of_purine_deoxyribonucleosides_degradation	27	7.34
PWY-5675:_nitrate_reduction_V_(assimilatory)	26	7.07
PWY-7237:_myo-,_chiro-_and_scyllo-inositol_degradation	26	7.07
UDPNAGSYN-PWY:_UDP-N-acetyl-D-glucosamine_biosynthesis_I	26	7.07
PWY-7013:_(S)-propane-1,2-diol_degradation	26	7.07
PWY-7118:_chitin_deacetylation	26	7.07
PWY-8073:_lipid_IVA_biosynthesis_(P._putida)	25	6.79
NAGLIPASYN-PWY:_lipid_IVA_biosynthesis_(E._coli)	25	6.79
PWY-8131:_5'-deoxyadenosine_degradation_II	25	6.79
PWY-7807:_glyphosate_degradation_III	24	6.52
PWY-6606:_guanosine_nucleotides_degradation_II	24	6.52
PWY-5676:_acetyl-CoA_fermentation_to_butanoate_II	24	6.52
PWY-841:_superpathway_of_purine_nucleotides_de_novo_biosynthesis_I	24	6.52
GOLPDLCAT-PWY:_superpathway_of_glycerol_degradation_to_1,3-propanediol	24	6.52
PWY-7184:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_I	24	6.52
PWY0-1533:_methylphosphonate_degradation_I	23	6.25
GLUCUROCAT-PWY:_superpathway_of_&beta;-D-glucuronosides_degradation	23	6.25
PWY-4984:_urea_cycle	23	6.25
FUC-RHAMCAT-PWY:_superpathway_of_fucose_and_rhamnose_degradation	23	6.25
GLYCOLYSIS:_glycolysis_I_(from_glucose_6-phosphate)	23	6.25
PWY0-781:_aspartate_superpathway	22	5.98
FASYN-ELONG-PWY:_fatty_acid_elongation_--_saturated	22	5.98
HCAMHPDEG-PWY:_3-phenylpropanoate_and_3-(3-hydroxyphenyl)propanoate_degradation_to_2-hydroxypentadienoate	22	5.98
PWY-6690:_cinnamate_and_3-hydroxycinnamate_degradation_to_2-hydroxypentadienoate	22	5.98
PWY-6588:_pyruvate_fermentation_to_acetone	22	5.98
HEMESYN2-PWY:_heme_b_biosynthesis_II_(oxygen-independent)	21	5.71
PWY-7400:_L-arginine_biosynthesis_IV_(archaebacteria)	21	5.71
PWY0-1241:_ADP-L-glycero-&beta;-D-manno-heptose_biosynthesis	21	5.71
PRPP-PWY:_superpathway_of_histidine,_purine,_and_pyrimidine_biosynthesis	21	5.71
P221-PWY:_octane_oxidation	21	5.71
PWY-702:_L-methionine_biosynthesis_II	20	5.43
PWY-7328:_superpathway_of_UDP-glucose-derived_O-antigen_building_blocks_biosynthesis	20	5.43
P161-PWY:_acetylene_degradation_(anaerobic)	20	5.43
PWY-6353:_purine_nucleotides_degradation_II_(aerobic)	19	5.16
PWY-7664:_oleate_biosynthesis_IV_(anaerobic)	19	5.16
PWY-6282:_palmitoleate_biosynthesis_I_(from_(5Z)-dodec-5-enoate)	19	5.16
PWY0-162:_superpathway_of_pyrimidine_ribonucleotides_de_novo_biosynthesis	19	5.16
BIOTIN-BIOSYNTHESIS-PWY:_biotin_biosynthesis_I	19	5.16
PWY-5989:_stearate_biosynthesis_II_(bacteria_and_plants)	19	5.16
PWY-5154:_L-arginine_biosynthesis_III_(via_N-acetyl-L-citrulline)	19	5.16
P164-PWY:_purine_nucleobases_degradation_I_(anaerobic)	19	5.16
PWY0-1477:_ethanolamine_utilization	19	5.16
PWY-6876:_isopropanol_biosynthesis_(engineered)	19	5.16
GALACTARDEG-PWY:_D-galactarate_degradation_I	19	5.16
PWY-5484:_glycolysis_II_(from_fructose_6-phosphate)	19	5.16
PWY0-1061:_superpathway_of_L-alanine_biosynthesis	19	5.16
GLYCOCAT-PWY:_glycogen_degradation_I	18	4.89
PWY0-862:_(5Z)-dodecenoate_biosynthesis_I	18	4.89
DTDPRHAMSYN-PWY:_dTDP-&beta;-L-rhamnose_biosynthesis	18	4.89
PWY-7198:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_IV	18	4.89
PWY1ZNC-1:_assimilatory_sulfate_reduction_IV	18	4.89
PWY4FS-7:_phosphatidylglycerol_biosynthesis_I_(plastidic)	18	4.89
PWY4FS-8:_phosphatidylglycerol_biosynthesis_II_(non-plastidic)	18	4.89
PWY0-1277:_3-phenylpropanoate_and_3-(3-hydroxyphenyl)propanoate_degradation	18	4.89
P461-PWY:_hexitol_fermentation_to_lactate,_formate,_ethanol_and_acetate	17	4.62
TCA-GLYOX-BYPASS:_superpathway_of_glyoxylate_bypass_and_TCA	17	4.62
GLUCONEO-PWY:_gluconeogenesis_I	17	4.62
LIPASYN-PWY:_phospholipases	17	4.62
PHOSLIPSYN-PWY:_superpathway_of_phospholipid_biosynthesis_I_(bacteria)	17	4.62
PWY-7805:_(aminomethyl)phosphonate_degradation	16	4.35
PWY-7323:_superpathway_of_GDP-mannose-derived_O-antigen_building_blocks_biosynthesis	16	4.35
PWY-3001:_superpathway_of_L-isoleucine_biosynthesis_I	16	4.35
CITRULBIO-PWY:_L-citrulline_biosynthesis	15	4.08
COLANSYN-PWY:_colanic_acid_building_blocks_biosynthesis	15	4.08
PWY-7315:_dTDP-N-acetylthomosamine_biosynthesis	15	4.08
PWY-6708:_ubiquinol-8_biosynthesis_(early_decarboxylation)	15	4.08
HEME-BIOSYNTHESIS-II:_heme_b_biosynthesis_I_(aerobic)	15	4.08
POLYISOPRENSYN-PWY:_polyisoprenoid_biosynthesis_(E._coli)	15	4.08
PPGPPMET-PWY:_ppGpp_metabolism	15	4.08
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY:_4-hydroxyphenylacetate_degradation	15	4.08
FERMENTATION-PWY:_mixed_acid_fermentation	15	4.08
PWY-8004:_Entner-Doudoroff_pathway_I	15	4.08
PWY-6572:_chondroitin_sulfate_degradation_I_(bacterial)	15	4.08
DAPLYSINESYN-PWY:_L-lysine_biosynthesis_I	14	3.80
PWY-1861:_formaldehyde_assimilation_II_(assimilatory_RuMP_Cycle)	14	3.80
FUCCAT-PWY:_fucose_degradation	14	3.80
PWY-6803:_phosphatidylcholine_acyl_editing	14	3.80
PWY-6531:_mannitol_cycle	14	3.80
PWY-8187:_L-arginine_degradation_XIII_(reductive_Stickland_reaction)	13	3.53
PWY-7446:_sulfoquinovose_degradation_I	13	3.53
PWY0-461:_L-lysine_degradation_I	13	3.53
PWY-7234:_inosine-5'-phosphate_biosynthesis_III	13	3.53
UBISYN-PWY:_superpathway_of_ubiquinol-8_biosynthesis_(early_decarboxylation)	13	3.53
PWY-5367:_petroselinate_biosynthesis	13	3.53
PWY-7117:_C4_photosynthetic_carbon_assimilation_cycle,_PEPCK_type	13	3.53
PWY-5837:_2-carboxy-1,4-naphthoquinol_biosynthesis	13	3.53
KDO-NAGLIPASYN-PWY:_superpathway_of_(Kdo)2-lipid_A_biosynthesis	13	3.53
GLYOXYLATE-BYPASS:_glyoxylate_cycle	13	3.53
PWY-6328:_L-lysine_degradation_X	12	3.26
PWY-7409:_phospholipid_remodeling_(phosphatidylethanolamine,_yeast)	12	3.26
PWY0-1298:_superpathway_of_pyrimidine_deoxyribonucleosides_degradation	12	3.26
PWY-5136:_fatty_acid_&beta;-oxidation_II_(plant_peroxisome)	12	3.26
KETOGLUCONMET-PWY:_ketogluconate_metabolism	11	2.99
PWY-5981:_CDP-diacylglycerol_biosynthesis_III	11	2.99
DARABCATK12-PWY:_D-arabinose_degradation_I	11	2.99
HEME-BIOSYNTHESIS-II-1:_heme_b_biosynthesis_V_(aerobic)	11	2.99
GLUCARDEG-PWY:_D-glucarate_degradation_I	11	2.99
PWY0-1479:_tRNA_processing	11	2.99
PWY-5705:_allantoin_degradation_to_glyoxylate_III	10	2.72
GALACTITOLCAT-PWY:_galactitol_degradation	10	2.72
PWY-6284:_superpathway_of_unsaturated_fatty_acids_biosynthesis_(E._coli)	10	2.72
METHGLYUT-PWY:_superpathway_of_methylglyoxal_degradation	10	2.72
GLYCOL-GLYOXDEG-PWY:_superpathway_of_glycol_metabolism_and_degradation	10	2.72
PWY-7316:_dTDP-N-acetylviosamine_biosynthesis	10	2.72
NAD-BIOSYNTHESIS-II:_NAD_salvage_pathway_III_(to_nicotinamide_riboside)	10	2.72
GLUDEG-I-PWY:_GABA_shunt	10	2.72
PWY-6992:_1,5-anhydrofructose_degradation	10	2.72
FAO-PWY:_fatty_acid_&beta;-oxidation_I_(generic)	10	2.72
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY:_protocatechuate_degradation_II_(ortho-cleavage_pathway)	10	2.72
PWY0-41:_allantoin_degradation_IV_(anaerobic)	10	2.72
PWY-6545:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_III	10	2.72
DENOVOPURINE2-PWY:_superpathway_of_purine_nucleotides_de_novo_biosynthesis_II	10	2.72
HOMOSER-METSYN-PWY:_L-methionine_biosynthesis_I	10	2.72
ECASYN-PWY:_enterobacterial_common_antigen_biosynthesis	9	2.45
PWY0-1338:_polymyxin_resistance	9	2.45
PWY-6628:_superpathway_of_L-phenylalanine_biosynthesis	9	2.45
CARNMET-PWY:_L-carnitine_degradation_I	9	2.45
PWY-5005:_biotin_biosynthesis_II	9	2.45
METH-ACETATE-PWY:_methanogenesis_from_acetate	9	2.45
PWY-5855:_ubiquinol-7_biosynthesis_(early_decarboxylation)	9	2.45
PWY-7858:_(5Z)-dodecenoate_biosynthesis_II	9	2.45
PWY-5138:_fatty_acid_&beta;-oxidation_IV_(unsaturated,_even_number)	9	2.45
PWY-5417:_catechol_degradation_III_(ortho-cleavage_pathway)	9	2.45
PWY-6185:_4-methylcatechol_degradation_(ortho_cleavage)	9	2.45
PWY-5431:_aromatic_compounds_degradation_via_&beta;-ketoadipate	9	2.45
PWY-7210:_pyrimidine_deoxyribonucleotides_biosynthesis_from_CTP	9	2.45
PWY0-1415:_superpathway_of_heme_b_biosynthesis_from_uroporphyrinogen-III	9	2.45
PWY-6292:_superpathway_of_L-cysteine_biosynthesis_(mammalian)	9	2.45
PWY-6969:_TCA_cycle_V_(2-oxoglutarate_synthase)	9	2.45
PWY-7115:_C4_photosynthetic_carbon_assimilation_cycle,_NAD-ME_type	9	2.45
PWY-7039:_phosphatidate_metabolism,_as_a_signaling_molecule	8	2.17
PWY-5747:_2-methylcitrate_cycle_II	8	2.17
PWY-6071:_superpathway_of_phenylethylamine_degradation	8	2.17
PWY-5189:_tetrapyrrole_biosynthesis_II_(from_glycine)	8	2.17
PWY-5656:_mannosylglycerate_biosynthesis_I	8	2.17
PWY66-409:_superpathway_of_purine_nucleotide_salvage	8	2.17
PWY-6630:_superpathway_of_L-tyrosine_biosynthesis	8	2.17
PWY-7356:_thiamine_diphosphate_salvage_IV_(yeast)	8	2.17
LACTOSECAT-PWY:_lactose_and_galactose_degradation_I	8	2.17
AST-PWY:_L-arginine_degradation_II_(AST_pathway)	8	2.17
PWY-7761:_NAD_salvage_pathway_II_(PNC_IV_cycle)	8	2.17
PWY-5130:_2-oxobutanoate_degradation_I	8	2.17
PWY4LZ-257:_superpathway_of_fermentation_(Chlamydomonas_reinhardtii)	8	2.17
PWY-7094:_fatty_acid_salvage	8	2.17
PWY-6478:_GDP-D-glycero-&alpha;-D-manno-heptose_biosynthesis	8	2.17
PWY-801:_homocysteine_and_cysteine_interconversion	8	2.17
PWY-7204:_pyridoxal_5'-phosphate_salvage_II_(plants)	8	2.17
PWY0-166:_superpathway_of_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_(E._coli)	8	2.17
PWY0-1221:_putrescine_degradation_II	8	2.17
PWY-5971:_palmitate_biosynthesis_(type_II_fatty_acid_synthase)	8	2.17
PWY-5913:_partial_TCA_cycle_(obligate_autotrophs)	8	2.17
PWY-7187:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_II	8	2.17
PWY-6961:_L-ascorbate_degradation_II_(bacterial,_aerobic)	8	2.17
METSYN-PWY:_superpathway_of_L-homoserine_and_L-methionine_biosynthesis	8	2.17
PWY-5347:_superpathway_of_L-methionine_biosynthesis_(transsulfuration)	8	2.17
PWY0-321:_phenylacetate_degradation_I_(aerobic)	7	1.90
PWY0-301:_L-ascorbate_degradation_I_(bacterial,_anaerobic)	7	1.90
PWY-7874:_L-threonate_degradation	7	1.90
ORNDEG-PWY:_superpathway_of_ornithine_degradation	7	1.90
PWY-6285:_superpathway_of_fatty_acids_biosynthesis_(E._coli)	7	1.90
PWY-6182:_superpathway_of_salicylate_degradation	7	1.90
PWY0-1337:_oleate_&beta;-oxidation	7	1.90
PWY-6901:_superpathway_of_glucose_and_xylose_degradation	7	1.90
ORNARGDEG-PWY:_superpathway_of_L-arginine_and_L-ornithine_degradation	7	1.90
ARGDEG-PWY:_superpathway_of_L-arginine,_putrescine,_and_4-aminobutanoate_degradation	7	1.90
PWY-5692:_allantoin_degradation_to_glyoxylate_II	7	1.90
URDEGR-PWY:_superpathway_of_allantoin_degradation_in_plants	7	1.90
MET-SAM-PWY:_superpathway_of_S-adenosyl-L-methionine_biosynthesis	7	1.90
PWY-561:_superpathway_of_glyoxylate_cycle_and_fatty_acid_degradation	7	1.90
HEXITOLDEGSUPER-PWY:_superpathway_of_hexitol_degradation_(bacteria)	6	1.63
PWY-6895:_superpathway_of_thiamine_diphosphate_biosynthesis_II	6	1.63
PWY-5920:_superpathway_of_heme_b_biosynthesis_from_glycine	6	1.63
THREOCAT-PWY:_superpathway_of_L-threonine_metabolism	6	1.63
P163-PWY:_L-lysine_fermentation_to_acetate_and_butanoate	6	1.63
PWY-622:_starch_biosynthesis	6	1.63
AEROBACTINSYN-PWY:_aerobactin_biosynthesis	6	1.63
PWY-7385:_1,3-propanediol_biosynthesis_(engineered)	6	1.63
PWY-6607:_guanosine_nucleotides_degradation_I	6	1.63
CATECHOL-ORTHO-CLEAVAGE-PWY:_catechol_degradation_to_&beta;-ketoadipate	6	1.63
PWY-7688:_dTDP-&alpha;-D-ravidosamine_and_dTDP-4-acetyl-&alpha;-D-ravidosamine_biosynthesis	6	1.63
ANAEROFRUCAT-PWY:_homolactic_fermentation	6	1.63
PWY-5723:_Rubisco_shunt	6	1.63
PWY-6305:_superpathway_of_putrescine_biosynthesis	6	1.63
GLUCOSE1PMETAB-PWY:_glucose_and_glucose-1-phosphate_degradation	6	1.63
TCA:_TCA_cycle_I_(prokaryotic)	6	1.63
P105-PWY:_TCA_cycle_IV_(2-oxoglutarate_decarboxylase)	6	1.63
PWY-5918:_superpathway_of_heme_b_biosynthesis_from_glutamate	5	1.36
PWY0-42:_2-methylcitrate_cycle_I	5	1.36
PWY-7209:_superpathway_of_pyrimidine_ribonucleosides_degradation	5	1.36
PWY-6318:_L-phenylalanine_degradation_IV_(mammalian,_via_side_chain)	5	1.36
POLYAMSYN-PWY:_superpathway_of_polyamine_biosynthesis_I	5	1.36
PWY-5497:_purine_nucleobases_degradation_II_(anaerobic)	5	1.36
PWY-6215:_4-chlorobenzoate_degradation	5	1.36
PWY-7942:_5-oxo-L-proline_metabolism	5	1.36
PWY-5896:_superpathway_of_menaquinol-10_biosynthesis	5	1.36
PWY-5861:_superpathway_of_demethylmenaquinol-8_biosynthesis_I	5	1.36
PWY-5850:_superpathway_of_menaquinol-6_biosynthesis	5	1.36
PWY-5840:_superpathway_of_menaquinol-7_biosynthesis	5	1.36
PWY-5845:_superpathway_of_menaquinol-9_biosynthesis	5	1.36
PWY3DJ-35471:_L-ascorbate_biosynthesis_IV_(animals,_D-glucuronate_pathway)	5	1.36
P185-PWY:_formaldehyde_assimilation_III_(dihydroxyacetone_cycle)	5	1.36
PWY-7392:_taxadiene_biosynthesis_(engineered)	5	1.36
PWY-7165:_L-ascorbate_biosynthesis_VIII_(engineered_pathway)	4	1.09
PWY-7873:_D-erythronate_degradation_II	4	1.09
GLYCOLYSIS-TCA-GLYOX-BYPASS:_superpathway_of_glycolysis,_pyruvate_dehydrogenase,_TCA,_and_glyoxylate_bypass	4	1.09
PWY-6749:_CMP-legionaminate_biosynthesis_I	4	1.09
REDCITCYC:_TCA_cycle_VI_(Helicobacter)	4	1.09
PWY66-389:_phytol_degradation	4	1.09
PWY-6763:_salicortin_biosynthesis	4	1.09
PWY-7396:_butanol_and_isobutanol_biosynthesis_(engineered)	4	1.09
PWY-6612:_superpathway_of_tetrahydrofolate_biosynthesis	4	1.09
ARG+POLYAMINE-SYN:_superpathway_of_arginine_and_polyamine_biosynthesis	4	1.09
P441-PWY:_superpathway_of_N-acetylneuraminate_degradation	4	1.09
PWY-7345:_superpathway_of_anaerobic_sucrose_degradation	4	1.09
FOLSYN-PWY:_superpathway_of_tetrahydrofolate_biosynthesis_and_salvage	4	1.09
PWY-5898:_superpathway_of_menaquinol-12_biosynthesis	4	1.09
PWY-5897:_superpathway_of_menaquinol-11_biosynthesis	4	1.09
PWY-5899:_superpathway_of_menaquinol-13_biosynthesis	4	1.09
PWY3O-4107:_NAD_salvage_pathway_V_(PNC_V_cycle)	4	1.09
PWY-6168:_flavin_biosynthesis_III_(fungi)	3	0.82
P125-PWY:_superpathway_of_(R,R)-butanediol_biosynthesis	3	0.82
PWY-6143:_CMP-pseudaminate_biosynthesis	3	0.82
PWY-5505:_L-glutamate_and_L-glutamine_biosynthesis	3	0.82
PWY-6953:_dTDP-3-acetamido-&alpha;-D-fucose_biosynthesis	3	0.82
LPSSYN-PWY:_superpathway_of_lipopolysaccharide_biosynthesis	3	0.82
P4-PWY:_superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_I	3	0.82
PWY-7269:_mitochondrial_NADPH_production_(yeast)	3	0.82
PWY-7211:_superpathway_of_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis	3	0.82
PWY-5860:_superpathway_of_demethylmenaquinol-6_biosynthesis_I	3	0.82
PWY-1501:_mandelate_degradation_I	3	0.82
PWY-5862:_superpathway_of_demethylmenaquinol-9_biosynthesis	3	0.82
PYRIDNUCSAL-PWY:_NAD_salvage_pathway_I_(PNC_VI_cycle)	3	0.82
PWY-821:_superpathway_of_sulfur_amino_acid_biosynthesis_(Saccharomyces_cerevisiae)	3	0.82
PWY-5345:_superpathway_of_L-methionine_biosynthesis_(by_sulfhydrylation)	3	0.82
PWY-5028:_L-histidine_degradation_II	3	0.82
PWY5F9-12:_biphenyl_degradation	3	0.82
PWY-7434:_terminal_O-glycans_residues_modification_(via_type_2_precursor_disaccharide)	3	0.82
