original_taxon	input_genus	input_species	gtdb_accession	match_status	gtdb_species	gtdb_genus	gtdb_family	gtdb_order	gtdb_class	gtdb_phylum	gtdb_taxonomy
g__Firmicutes_unclassified.s__Firmicutes_bacterium_AF16_15	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium AF16 15		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_AM10_47	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium AM10 47		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_102	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 102		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 103		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_110	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 110		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_114	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 114		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 124		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_129	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 129		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_137	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 137		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_145	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 145		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_170	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 170		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_176	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 176		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_194	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 194		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_238	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 238		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_240	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 240		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_272	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 272		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_313	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 313		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_345	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 345		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 41		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_424	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 424		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_460	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 460		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_475	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 475		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_534	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 534		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_552	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 552		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_555	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 555		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 56		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_582	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 582		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_646	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 646		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_65_45_313	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 65 45 313		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_791	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 791		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 83		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_884	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 884		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_94	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 94		no_species_or_genus_match							
g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_95	g__Firmicutes_unclassified	s__Firmicutes_unclassified Firmicutes bacterium CAG 95		no_species_or_genus_match							
g__Gardnerella.s__Gardnerella_vaginalis	g__Gardnerella	s__Gardnerella vaginalis		no_species_or_genus_match							
g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_unclassified Eubacterium rectale		no_species_or_genus_match							
g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_2_1_46FAA	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_unclassified Lachnospiraceae bacterium 2 1 46FAA		no_species_or_genus_match							
g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_OF09_6	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_unclassified Lachnospiraceae bacterium OF09 6		no_species_or_genus_match							
g__Leclercia.s__Leclercia_adecarboxylata	g__Leclercia	s__Leclercia adecarboxylata		no_species_or_genus_match							
g__Lentisphaerae_unclassified.s__Lentisphaerae_bacterium	g__Lentisphaerae_unclassified	s__Lentisphaerae_unclassified Lentisphaerae bacterium		no_species_or_genus_match							
g__Massiliomicrobiota.s__Massiliomicrobiota_timonensis	g__Massiliomicrobiota	s__Massiliomicrobiota timonensis		no_species_or_genus_match							
g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis	g__Methanomassiliicoccus	s__Methanomassiliicoccus Candidatus Methanomassiliicoccus intestinalis		no_species_or_genus_match							
g__Peptostreptococcaceae_unclassified.s__Peptostreptococcaceae_bacterium_oral_taxon_929	g__Peptostreptococcaceae_unclassified	s__Peptostreptococcaceae_unclassified Peptostreptococcaceae bacterium oral taxon 929		no_species_or_genus_match							
g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	g__Proteobacteria_unclassified	s__Proteobacteria_unclassified Proteobacteria bacterium CAG 139		no_species_or_genus_match							
g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_495	g__Proteobacteria_unclassified	s__Proteobacteria_unclassified Proteobacteria bacterium CAG 495		no_species_or_genus_match							
g__Ruminococcaceae_unclassified.s__Clostridium_leptum	g__Ruminococcaceae_unclassified	s__Ruminococcaceae_unclassified Clostridium leptum		no_species_or_genus_match							
g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	g__Ruminococcaceae_unclassified	s__Ruminococcaceae_unclassified Eubacterium siraeum		no_species_or_genus_match							
g__Ruminococcaceae_unclassified.s__Ruminococcaceae_bacterium_D16	g__Ruminococcaceae_unclassified	s__Ruminococcaceae_unclassified Ruminococcaceae bacterium D16		no_species_or_genus_match							
g__Ruminococcaceae_unclassified.s__Ruminococcaceae_bacterium_D5	g__Ruminococcaceae_unclassified	s__Ruminococcaceae_unclassified Ruminococcaceae bacterium D5		no_species_or_genus_match							
g__Sanguibacteroides.s__Sanguibacteroides_justesenii	g__Sanguibacteroides	s__Sanguibacteroides justesenii		no_species_or_genus_match							
g__Subdoligranulum.s__Subdoligranulum_sp_APC924_74	g__Subdoligranulum	s__Subdoligranulum sp APC924 74		no_species_or_genus_match							
g__Victivallales_unclassified.s__Victivallales_bacterium_CCUG_44730	g__Victivallales_unclassified	s__Victivallales_unclassified Victivallales bacterium CCUG 44730		no_species_or_genus_match							
