original_taxon	input_genus	input_species	gtdb_accession	match_status	gtdb_species	gtdb_genus	gtdb_family	gtdb_order	gtdb_class	gtdb_phylum	gtdb_taxonomy
g__Blautia.s__Ruminococcus_torques	g__Blautia	s__Blautia Ruminococcus torques		genus_match_only							
g__Brachyspira.s__Brachyspira_sp_CAG_484	g__Brachyspira	s__Brachyspira sp CAG 484		genus_match_only							
g__Brachyspira.s__Brachyspira_sp_CAG_700	g__Brachyspira	s__Brachyspira sp CAG 700		genus_match_only							
g__Butyrivibrio.s__Butyrivibrio_crossotus	g__Butyrivibrio	s__Butyrivibrio crossotus		genus_match_only							
g__Butyrivibrio.s__Butyrivibrio_sp_CAG_318	g__Butyrivibrio	s__Butyrivibrio sp CAG 318		genus_match_only							
g__Citrobacter.s__Citrobacter_amalonaticus	g__Citrobacter	s__Citrobacter amalonaticus		genus_match_only							
g__Clostridium.s__Clostridium_sp_44_14	g__Clostridium	s__Clostridium sp 44 14		genus_match_only							
g__Clostridium.s__Clostridium_sp_7_2_43FAA	g__Clostridium	s__Clostridium sp 7 2 43FAA		genus_match_only							
g__Clostridium.s__Clostridium_sp_AF36_4	g__Clostridium	s__Clostridium sp AF36 4		genus_match_only							
g__Clostridium.s__Clostridium_sp_AM22_11AC	g__Clostridium	s__Clostridium sp AM22 11AC		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_1013	g__Clostridium	s__Clostridium sp CAG 1013		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_1024	g__Clostridium	s__Clostridium sp CAG 1024		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_1219	g__Clostridium	s__Clostridium sp CAG 1219		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_122	g__Clostridium	s__Clostridium sp CAG 122		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_138	g__Clostridium	s__Clostridium sp CAG 138		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_167	g__Clostridium	s__Clostridium sp CAG 167		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_169	g__Clostridium	s__Clostridium sp CAG 169		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_217	g__Clostridium	s__Clostridium sp CAG 217		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_221	g__Clostridium	s__Clostridium sp CAG 221		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_226	g__Clostridium	s__Clostridium sp CAG 226		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_230	g__Clostridium	s__Clostridium sp CAG 230		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_242	g__Clostridium	s__Clostridium sp CAG 242		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_245	g__Clostridium	s__Clostridium sp CAG 245		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_253	g__Clostridium	s__Clostridium sp CAG 253		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_269	g__Clostridium	s__Clostridium sp CAG 269		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_273	g__Clostridium	s__Clostridium sp CAG 273		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_299	g__Clostridium	s__Clostridium sp CAG 299		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_302	g__Clostridium	s__Clostridium sp CAG 302		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_307	g__Clostridium	s__Clostridium sp CAG 307		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_349	g__Clostridium	s__Clostridium sp CAG 349		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_354	g__Clostridium	s__Clostridium sp CAG 354		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_356	g__Clostridium	s__Clostridium sp CAG 356		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_389	g__Clostridium	s__Clostridium sp CAG 389		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_411	g__Clostridium	s__Clostridium sp CAG 411		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_413	g__Clostridium	s__Clostridium sp CAG 413		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_417	g__Clostridium	s__Clostridium sp CAG 417		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_433	g__Clostridium	s__Clostridium sp CAG 433		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_440	g__Clostridium	s__Clostridium sp CAG 440		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_448	g__Clostridium	s__Clostridium sp CAG 448		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_452	g__Clostridium	s__Clostridium sp CAG 452		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_465	g__Clostridium	s__Clostridium sp CAG 465		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_470	g__Clostridium	s__Clostridium sp CAG 470		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_492	g__Clostridium	s__Clostridium sp CAG 492		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_505	g__Clostridium	s__Clostridium sp CAG 505		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_508	g__Clostridium	s__Clostridium sp CAG 508		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_510	g__Clostridium	s__Clostridium sp CAG 510		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_533	g__Clostridium	s__Clostridium sp CAG 533		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_557	g__Clostridium	s__Clostridium sp CAG 557		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_567	g__Clostridium	s__Clostridium sp CAG 567		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_568	g__Clostridium	s__Clostridium sp CAG 568		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_571	g__Clostridium	s__Clostridium sp CAG 571		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_575	g__Clostridium	s__Clostridium sp CAG 575		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_58	g__Clostridium	s__Clostridium sp CAG 58		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_594	g__Clostridium	s__Clostridium sp CAG 594		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_609	g__Clostridium	s__Clostridium sp CAG 609		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_628	g__Clostridium	s__Clostridium sp CAG 628		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_632	g__Clostridium	s__Clostridium sp CAG 632		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_678	g__Clostridium	s__Clostridium sp CAG 678		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_710	g__Clostridium	s__Clostridium sp CAG 710		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_75	g__Clostridium	s__Clostridium sp CAG 75		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_762	g__Clostridium	s__Clostridium sp CAG 762		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_780	g__Clostridium	s__Clostridium sp CAG 780		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_793	g__Clostridium	s__Clostridium sp CAG 793		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_798	g__Clostridium	s__Clostridium sp CAG 798		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_813	g__Clostridium	s__Clostridium sp CAG 813		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_914	g__Clostridium	s__Clostridium sp CAG 914		genus_match_only							
g__Clostridium.s__Clostridium_sp_CAG_964	g__Clostridium	s__Clostridium sp CAG 964		genus_match_only							
g__Clostridium.s__Clostridium_sp_D5	g__Clostridium	s__Clostridium sp D5		genus_match_only							
g__Clostridium.s__Clostridium_sp_chh4_2	g__Clostridium	s__Clostridium sp chh4 2		genus_match_only							
g__Collinsella.s__Collinsella_sp_CAG_289	g__Collinsella	s__Collinsella sp CAG 289		genus_match_only							
g__Coprococcus.s__Coprococcus_sp_CAG_782	g__Coprococcus	s__Coprococcus sp CAG 782		genus_match_only							
g__Coraliomargarita.s__Coraliomargarita_sp_CAG_312	g__Coraliomargarita	s__Coraliomargarita sp CAG 312		genus_match_only							
g__Cryptobacterium.s__Cryptobacterium_sp_CAG_338	g__Cryptobacterium	s__Cryptobacterium sp CAG 338		genus_match_only							
g__Culturomica.s__Culturomica_sp	g__Culturomica	s__Culturomica sp		genus_match_only							
g__Dialister.s__Dialister_sp_CAG_486	g__Dialister	s__Dialister sp CAG 486		genus_match_only							
g__Dorea.s__Dorea_sp_CAG_317	g__Dorea	s__Dorea sp CAG 317		genus_match_only							
g__Dysgonomonas.s__Dysgonomonas_sp_37_18	g__Dysgonomonas	s__Dysgonomonas sp 37 18		genus_match_only							
g__Eggerthella.s__Eggerthella_sp_CAG_209	g__Eggerthella	s__Eggerthella sp CAG 209		genus_match_only							
g__Eggerthella.s__Eggerthella_sp_CAG_298	g__Eggerthella	s__Eggerthella sp CAG 298		genus_match_only							
g__Eisenbergiella.s__Eisenbergiella_massiliensis	g__Eisenbergiella	s__Eisenbergiella massiliensis		genus_match_only							
g__Enorma.s__Collinsella_massiliensis	g__Enorma	s__Enorma Collinsella massiliensis		genus_match_only							
g__Enterococcus.s__Enterococcus_raffinosus	g__Enterococcus	s__Enterococcus raffinosus		genus_match_only							
g__Eubacterium.s__Eubacterium_eligens	g__Eubacterium	s__Eubacterium eligens		genus_match_only							
g__Eubacterium.s__Eubacterium_hallii	g__Eubacterium	s__Eubacterium hallii		genus_match_only							
g__Eubacterium.s__Eubacterium_sp_36_13	g__Eubacterium	s__Eubacterium sp 36 13		genus_match_only							
g__Eubacterium.s__Eubacterium_sp_AF17_7	g__Eubacterium	s__Eubacterium sp AF17 7		genus_match_only							
g__Eubacterium.s__Eubacterium_sp_An11	g__Eubacterium	s__Eubacterium sp An11		genus_match_only							
g__Eubacterium.s__Eubacterium_sp_CAG_115	g__Eubacterium	s__Eubacterium sp CAG 115		genus_match_only							
g__Eubacterium.s__Eubacterium_sp_CAG_161	g__Eubacterium	s__Eubacterium sp CAG 161		genus_match_only							
g__Eubacterium.s__Eubacterium_sp_CAG_180	g__Eubacterium	s__Eubacterium sp CAG 180		genus_match_only							
g__Eubacterium.s__Eubacterium_sp_CAG_192	g__Eubacterium	s__Eubacterium sp CAG 192		genus_match_only							
g__Eubacterium.s__Eubacterium_sp_CAG_251	g__Eubacterium	s__Eubacterium sp CAG 251		genus_match_only							
g__Eubacterium.s__Eubacterium_sp_CAG_252	g__Eubacterium	s__Eubacterium sp CAG 252		genus_match_only							
g__Eubacterium.s__Eubacterium_sp_CAG_274	g__Eubacterium	s__Eubacterium sp CAG 274		genus_match_only							
g__Eubacterium.s__Eubacterium_sp_CAG_38	g__Eubacterium	s__Eubacterium sp CAG 38		genus_match_only							
g__Eubacterium.s__Eubacterium_sp_CAG_581	g__Eubacterium	s__Eubacterium sp CAG 581		genus_match_only							
g__Eubacterium.s__Eubacterium_sp_CAG_786	g__Eubacterium	s__Eubacterium sp CAG 786		genus_match_only							
g__Faecalibacterium.s__Faecalibacterium_sp_CAG_74	g__Faecalibacterium	s__Faecalibacterium sp CAG 74		genus_match_only							
g__Flavonifractor.s__Flavonifractor_sp_An10	g__Flavonifractor	s__Flavonifractor sp An10		genus_match_only							
g__Flavonifractor.s__Flavonifractor_sp_An100	g__Flavonifractor	s__Flavonifractor sp An100		genus_match_only							
g__Flavonifractor.s__Flavonifractor_sp_An306	g__Flavonifractor	s__Flavonifractor sp An306		genus_match_only							
g__Fusobacterium.s__Fusobacterium_equinum	g__Fusobacterium	s__Fusobacterium equinum		genus_match_only							
g__Fusobacterium.s__Fusobacterium_sp_CAG_439	g__Fusobacterium	s__Fusobacterium sp CAG 439		genus_match_only							
g__Fusobacterium.s__Fusobacterium_ulcerans	g__Fusobacterium	s__Fusobacterium ulcerans		genus_match_only							
g__Fusobacterium.s__Fusobacterium_varium	g__Fusobacterium	s__Fusobacterium varium		genus_match_only							
g__Gemmiger.s__Gemmiger_sp_An50	g__Gemmiger	s__Gemmiger sp An50		genus_match_only							
g__Gemmiger.s__Gemmiger_sp_An87	g__Gemmiger	s__Gemmiger sp An87		genus_match_only							
g__Gordonibacter.s__Gordonibacter_sp_An232A	g__Gordonibacter	s__Gordonibacter sp An232A		genus_match_only							
g__Haemophilus.s__Haemophilus_parainfluenzae	g__Haemophilus	s__Haemophilus parainfluenzae		genus_match_only							
g__Lachnoclostridium.s__Clostridium_aldenense	g__Lachnoclostridium	s__Lachnoclostridium Clostridium aldenense		genus_match_only							
g__Lachnoclostridium.s__Clostridium_asparagiforme	g__Lachnoclostridium	s__Lachnoclostridium Clostridium asparagiforme		genus_match_only							
g__Lachnoclostridium.s__Clostridium_citroniae	g__Lachnoclostridium	s__Lachnoclostridium Clostridium citroniae		genus_match_only							
g__Lachnoclostridium.s__Clostridium_clostridioforme	g__Lachnoclostridium	s__Lachnoclostridium Clostridium clostridioforme		genus_match_only							
g__Lachnoclostridium.s__Clostridium_lavalense	g__Lachnoclostridium	s__Lachnoclostridium Clostridium lavalense		genus_match_only							
g__Lachnoclostridium.s__Clostridium_saccharolyticum	g__Lachnoclostridium	s__Lachnoclostridium Clostridium saccharolyticum		genus_match_only							
g__Lachnoclostridium.s__Clostridium_scindens	g__Lachnoclostridium	s__Lachnoclostridium Clostridium scindens		genus_match_only							
g__Lachnoclostridium.s__Clostridium_symbiosum	g__Lachnoclostridium	s__Lachnoclostridium Clostridium symbiosum		genus_match_only							
g__Lachnoclostridium.s__Lachnoclostridium_sp_An118	g__Lachnoclostridium	s__Lachnoclostridium sp An118		genus_match_only							
g__Lachnoclostridium.s__Lachnoclostridium_sp_An131	g__Lachnoclostridium	s__Lachnoclostridium sp An131		genus_match_only							
g__Lachnoclostridium.s__Lachnoclostridium_sp_An138	g__Lachnoclostridium	s__Lachnoclostridium sp An138		genus_match_only							
g__Lachnoclostridium.s__Lachnoclostridium_sp_An169	g__Lachnoclostridium	s__Lachnoclostridium sp An169		genus_match_only							
g__Lactobacillus.s__Lactobacillus_animalis	g__Lactobacillus	s__Lactobacillus animalis		genus_match_only							
g__Lactobacillus.s__Lactobacillus_brevis	g__Lactobacillus	s__Lactobacillus brevis		genus_match_only							
g__Lactobacillus.s__Lactobacillus_buchneri	g__Lactobacillus	s__Lactobacillus buchneri		genus_match_only							
g__Lactobacillus.s__Lactobacillus_casei_group	g__Lactobacillus	s__Lactobacillus casei group		genus_match_only							
g__Lactobacillus.s__Lactobacillus_curvatus	g__Lactobacillus	s__Lactobacillus curvatus		genus_match_only							
g__Lactobacillus.s__Lactobacillus_fermentum	g__Lactobacillus	s__Lactobacillus fermentum		genus_match_only							
g__Lactobacillus.s__Lactobacillus_plantarum	g__Lactobacillus	s__Lactobacillus plantarum		genus_match_only							
g__Lactobacillus.s__Lactobacillus_rhamnosus	g__Lactobacillus	s__Lactobacillus rhamnosus		genus_match_only							
g__Lactobacillus.s__Lactobacillus_ruminis	g__Lactobacillus	s__Lactobacillus ruminis		genus_match_only							
g__Lactobacillus.s__Lactobacillus_sakei	g__Lactobacillus	s__Lactobacillus sakei		genus_match_only							
g__Lactobacillus.s__Lactobacillus_salivarius	g__Lactobacillus	s__Lactobacillus salivarius		genus_match_only							
g__Lactobacillus.s__Lactobacillus_vaccinostercus	g__Lactobacillus	s__Lactobacillus vaccinostercus		genus_match_only							
g__Lactococcus.s__Lactococcus_raffinolactis	g__Lactococcus	s__Lactococcus raffinolactis		genus_match_only							
g__Megamonas.s__Megamonas_rupellensis	g__Megamonas	s__Megamonas rupellensis		genus_match_only							
g__Megasphaera.s__Megasphaera_sp_DISK_18	g__Megasphaera	s__Megasphaera sp DISK 18		genus_match_only							
g__Mycoplasma.s__Mycoplasma_sp_CAG_472	g__Mycoplasma	s__Mycoplasma sp CAG 472		genus_match_only							
g__Oscillibacter.s__Oscillibacter_sp_57_20	g__Oscillibacter	s__Oscillibacter sp 57 20		genus_match_only							
g__Oscillibacter.s__Oscillibacter_sp_CAG_155	g__Oscillibacter	s__Oscillibacter sp CAG 155		genus_match_only							
g__Oscillibacter.s__Oscillibacter_sp_CAG_241	g__Oscillibacter	s__Oscillibacter sp CAG 241		genus_match_only							
g__Oscillibacter.s__Oscillibacter_sp_PC13	g__Oscillibacter	s__Oscillibacter sp PC13		genus_match_only							
g__Pantoea.s__Pantoea_sesami	g__Pantoea	s__Pantoea sesami		genus_match_only							
g__Parabacteroides.s__Parabacteroides_sp_CAG_409	g__Parabacteroides	s__Parabacteroides sp CAG 409		genus_match_only							
g__Parvimonas.s__Parvimonas_sp_KA00067	g__Parvimonas	s__Parvimonas sp KA00067		genus_match_only							
g__Phascolarctobacterium.s__Phascolarctobacterium_sp_CAG_266	g__Phascolarctobacterium	s__Phascolarctobacterium sp CAG 266		genus_match_only							
g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	g__Phascolarctobacterium	s__Phascolarctobacterium succinatutens		genus_match_only							
g__Porphyromonas.s__Porphyromonas_sp_HMSC065F10	g__Porphyromonas	s__Porphyromonas sp HMSC065F10		genus_match_only							
g__Porphyromonas.s__Porphyromonas_sp_HMSC077F02	g__Porphyromonas	s__Porphyromonas sp HMSC077F02		genus_match_only							
g__Prevotella.s__Prevotella_oralis	g__Prevotella	s__Prevotella oralis		genus_match_only							
g__Prevotella.s__Prevotella_sp_109	g__Prevotella	s__Prevotella sp 109		genus_match_only							
g__Prevotella.s__Prevotella_sp_885	g__Prevotella	s__Prevotella sp 885		genus_match_only							
g__Prevotella.s__Prevotella_sp_AM42_24	g__Prevotella	s__Prevotella sp AM42 24		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_1031	g__Prevotella	s__Prevotella sp CAG 1031		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_1058	g__Prevotella	s__Prevotella sp CAG 1058		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_1092	g__Prevotella	s__Prevotella sp CAG 1092		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_1124	g__Prevotella	s__Prevotella sp CAG 1124		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_1185	g__Prevotella	s__Prevotella sp CAG 1185		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_1320	g__Prevotella	s__Prevotella sp CAG 1320		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_279	g__Prevotella	s__Prevotella sp CAG 279		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_386	g__Prevotella	s__Prevotella sp CAG 386		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_485	g__Prevotella	s__Prevotella sp CAG 485		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_487	g__Prevotella	s__Prevotella sp CAG 487		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_520	g__Prevotella	s__Prevotella sp CAG 520		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_5226	g__Prevotella	s__Prevotella sp CAG 5226		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_604	g__Prevotella	s__Prevotella sp CAG 604		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_617	g__Prevotella	s__Prevotella sp CAG 617		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_732	g__Prevotella	s__Prevotella sp CAG 732		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_755	g__Prevotella	s__Prevotella sp CAG 755		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_873	g__Prevotella	s__Prevotella sp CAG 873		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_891	g__Prevotella	s__Prevotella sp CAG 891		genus_match_only							
g__Prevotella.s__Prevotella_sp_CAG_924	g__Prevotella	s__Prevotella sp CAG 924		genus_match_only							
g__Pseudoflavonifractor.s__Pseudoflavonifractor_sp_An184	g__Pseudoflavonifractor	s__Pseudoflavonifractor sp An184		genus_match_only							
g__Pseudomonas.s__Pseudomonas_aeruginosa_group	g__Pseudomonas	s__Pseudomonas aeruginosa group		genus_match_only							
g__Pseudomonas.s__Pseudomonas_fragi	g__Pseudomonas	s__Pseudomonas fragi		genus_match_only							
g__Pseudomonas.s__Pseudomonas_helleri	g__Pseudomonas	s__Pseudomonas helleri		genus_match_only							
g__Roseburia.s__Roseburia_sp_CAG_100	g__Roseburia	s__Roseburia sp CAG 100		genus_match_only							
g__Roseburia.s__Roseburia_sp_CAG_182	g__Roseburia	s__Roseburia sp CAG 182		genus_match_only							
g__Roseburia.s__Roseburia_sp_CAG_197	g__Roseburia	s__Roseburia sp CAG 197		genus_match_only							
g__Roseburia.s__Roseburia_sp_CAG_303	g__Roseburia	s__Roseburia sp CAG 303		genus_match_only							
g__Roseburia.s__Roseburia_sp_CAG_380	g__Roseburia	s__Roseburia sp CAG 380		genus_match_only							
g__Roseburia.s__Roseburia_sp_CAG_471	g__Roseburia	s__Roseburia sp CAG 471		genus_match_only							
g__Ruminococcus.s__Ruminococcus_bicirculans	g__Ruminococcus	s__Ruminococcus bicirculans		genus_match_only							
g__Ruminococcus.s__Ruminococcus_bromii	g__Ruminococcus	s__Ruminococcus bromii		genus_match_only							
g__Ruminococcus.s__Ruminococcus_callidus	g__Ruminococcus	s__Ruminococcus callidus		genus_match_only							
g__Ruminococcus.s__Ruminococcus_lactaris	g__Ruminococcus	s__Ruminococcus lactaris		genus_match_only							
g__Ruminococcus.s__Ruminococcus_sp_AF31_8BH	g__Ruminococcus	s__Ruminococcus sp AF31 8BH		genus_match_only							
